0,4001 South 700 East
1,1060 Dalton Ave S
2,1330 2100 S
3,1488 4800 S
4,177 W Price Ave
5,195 W Oakland Ave
6,2010 W 500 S
7,2300 Parkway Blvd
8,233 Canyon Rd
9,2530 S 500 E
10,2600 Taylorsville Blvd
11,2835 Main St
12,300 State St
13,3060 Lester St
14,3148 S 1100 W
15,3365 S 900 W
16,3575 W Valley Central Station bus Loop
17,3595 Main St
18,380 W 2880 S
19,410 S State St
20,4300 S 1300 E
21,4580 S 2300 E
22,5025 State St
23,5100 South 2700 West
24,5383 South 900 East #104
25,600 E 900 South
26,6351 South 900 East
